"sj","item","adv_type","adv_t","verb_t","gramm","ROI","label","fp","gp","tt","ri","ro"
"1","83","Deic","Past","Future","0","5","la cantidad",198,1473,901,0,1
"1","83","Deic","Past","Future","0","6","de lluvia.",100,100,100,0,0
"1","70","Deic","Past","Future","0","1","Nuevamente,",385,385,699,1,0
"1","70","Deic","Past","Future","0","2","la primavera pasada",787,787,787,0,0
"1","70","Deic","Past","Future","0","3","las mariposas",617,617,617,0,0
"1","70","Deic","Past","Future","0","4","revolotearán",552,552,552,0,0
"1","70","Deic","Past","Future","0","5","alrededor de las flores",1109,1109,1109,0,0
"1","70","Deic","Past","Future","0","6","del jardín.",204,518,204,0,1
"1","51","Non-deic","none","Future","1","1","Sorprendentemente,",795,795,795,0,0
"1","51","Non-deic","none","Future","1","2","tras las reunión",523,523,523,0,0
"1","51","Non-deic","none","Future","1","3","los consejeros",250,250,804,1,0
"1","51","Non-deic","none","Future","1","4","relevarán",271,1126,572,0,1
"1","51","Non-deic","none","Future","1","5","al director",641,641,641,0,0
"1","51","Non-deic","none","Future","1","6","de su cargo.",268,268,268,0,0
"1","29","Non-deic","none","Past","1","1","Con sus ideas,",908,908,908,0,0
"1","29","Non-deic","none","Past","1","2","en época de crisis",2739,2739,2739,0,0
"1","29","Non-deic","none","Past","1","3","los activistas",390,390,390,0,0
"1","29","Non-deic","none","Past","1","4","revolucionaron",682,682,682,0,0
"1","29","Non-deic","none","Past","1","5","los derechos humanos",467,467,467,0,0
"1","29","Non-deic","none","Past","1","6","en China.",489,489,489,0,0
"1","69","Deic","Past","Future","0","1","En el congreso,",776,776,776,0,0
"1","69","Deic","Past","Future","0","2","el lunes pasado",519,519,519,0,0
"1","69","Deic","Past","Future","0","3","los asistentes",366,366,366,0,0
"1","69","Deic","Past","Future","0","4","hojearán",1009,1009,1009,0,0
"1","69","Deic","Past","Future","0","5","el nuevo libro",402,402,402,0,0
"1","69","Deic","Past","Future","0","6","de filosofía.",258,258,258,0,0
"1","68","Deic","Past","Past","1","1","En el caserío,",754,754,1100,1,0
"1","68","Deic","Past","Past","1","2","ayer por la mañana",224,1336,990,0,1
"1","68","Deic","Past","Past","1","3","los campesinos",723,723,723,0,0
"1","68","Deic","Past","Past","1","4","fermentaron",1122,1122,1285,1,0
"1","68","Deic","Past","Past","1","5","la uva",290,453,290,0,1
"1","68","Deic","Past","Past","1","6","para hacer vino.",889,889,889,0,0
"1","30","Non-deic","none","Past","1","1","En la bodega,",723,723,723,0,0
"1","30","Non-deic","none","Past","1","2","antes de la cata",876,876,876,0,0
"1","30","Non-deic","none","Past","1","3","los sumilleres",1384,1384,1384,0,0
"1","30","Non-deic","none","Past","1","4","decantaron",615,615,615,0,0
"1","30","Non-deic","none","Past","1","5","el vino",370,370,370,0,0
"1","30","Non-deic","none","Past","1","6","más viejo.",459,459,459,0,0
"1","63","Deic","Past","Past","1","1","Por su buen comportamiento,",1405,1405,1405,0,0
"1","63","Deic","Past","Past","1","2","la navidad pasada",706,706,706,0,0
"1","63","Deic","Past","Past","1","3","los padres",465,465,465,0,0
"1","63","Deic","Past","Past","1","4","regalaron",288,288,288,0,0
"1","63","Deic","Past","Past","1","5","juguetes",434,434,434,0,0
"1","63","Deic","Past","Past","1","6","a sus hijos.",373,373,373,0,0
"1","32","Non-deic","none","Past","1","1","De acuerdo con el convenio,",1366,1366,1366,0,0
"1","32","Non-deic","none","Past","1","2","en navidades",957,957,957,0,0
"1","32","Non-deic","none","Past","1","3","las enfermeras",548,548,548,0,0
"1","32","Non-deic","none","Past","1","4","rotaron",708,708,708,0,0
"1","32","Non-deic","none","Past","1","5","su turno",781,781,781,0,0
"1","32","Non-deic","none","Past","1","6","de guardia nocturna.",723,723,723,0,0
"1","10","Deic","Future","Future","1","1","Para agilizar el papeleo,",1012,1012,1012,0,0
"1","10","Deic","Future","Future","1","2","la próxima semana",630,630,630,0,0
"1","10","Deic","Future","Future","1","3","los secretarios",470,470,470,0,0
"1","10","Deic","Future","Future","1","4","gestionarán",500,500,500,0,0
"1","10","Deic","Future","Future","1","5","los pagos",763,763,979,1,0
"1","10","Deic","Future","Future","1","6","electrónicamente.",821,1037,821,0,1
"1","47","Non-deic","none","Future","1","1","Según la prensa,",826,826,826,0,0
"1","47","Non-deic","none","Future","1","2","a mediados de mes",616,616,616,0,0
"1","47","Non-deic","none","Future","1","3","los participantes",633,633,633,0,0
"1","47","Non-deic","none","Future","1","4","boxearán",752,752,752,0,0
"1","47","Non-deic","none","Future","1","5","en el cuadrilátero",1289,1289,1289,0,0
"1","47","Non-deic","none","Future","1","6","de Madrid.",262,262,262,0,0
"1","79","Deic","Past","Future","0","1","Bajo juramento,",700,700,700,0,0
"1","79","Deic","Past","Future","0","2","el miercoles pasado",1009,1009,1009,0,0
"1","79","Deic","Past","Future","0","3","los agentes",405,405,405,0,0
"1","79","Deic","Past","Future","0","4","testificarán",596,596,596,0,0
"1","79","Deic","Past","Future","0","5","en contra",526,526,769,1,0
"1","79","Deic","Past","Future","0","6","del acusado.",205,699,456,0,1
"1","73","Deic","Past","Future","0","1","Según la prensa,",886,886,886,0,0
"1","73","Deic","Past","Future","0","2","la semana pasada",513,513,513,0,0
"1","73","Deic","Past","Future","0","3","los magistrados",587,587,587,0,0
"1","73","Deic","Past","Future","0","4","expoliarán",2833,2833,2833,0,0
"1","73","Deic","Past","Future","0","5","los bienes",436,436,436,0,0
"1","73","Deic","Past","Future","0","6","del evasor.",460,460,460,0,0
"1","25","Non-deic","none","Past","1","1","Nuevamente,",369,369,369,0,0
"1","25","Non-deic","none","Past","1","2","a finales de año",719,719,719,0,0
"1","25","Non-deic","none","Past","1","3","los jefes",455,455,455,0,0
"1","25","Non-deic","none","Past","1","4","reajustaron",928,928,928,0,0
"1","25","Non-deic","none","Past","1","5","los puestos de trabajo",1019,1019,1019,0,0
"1","25","Non-deic","none","Past","1","6","de la compañía.",356,356,356,0,0
"1","31","Non-deic","none","Past","1","1","Gracias a su obra,",813,813,813,0,0
"1","31","Non-deic","none","Past","1","2","en época de crisis",1089,1089,1089,0,0
"1","31","Non-deic","none","Past","1","3","los escritores",700,700,700,0,0
"1","31","Non-deic","none","Past","1","4","exaltaron",778,778,778,0,0
"1","31","Non-deic","none","Past","1","5","la grandeza",1069,1069,1069,0,0
"1","31","Non-deic","none","Past","1","6","de País Vasco.",548,548,548,0,0
"1","100","Deic","Future","Past","0","1","En la catedral,",572,572,779,1,0
"1","100","Deic","Future","Past","0","2","dentro de un año",289,1374,1167,0,1
"1","100","Deic","Future","Past","0","3","los obispos",458,458,458,0,0
"1","100","Deic","Future","Past","0","4","coronaron",613,613,613,0,0
"1","100","Deic","Future","Past","0","5","al príncipe",450,450,450,0,0
"1","100","Deic","Future","Past","0","6","de Holanda.",510,510,510,0,0
"1","14","Deic","Future","Future","1","1","En Bulgaria,",577,577,577,0,0
"1","14","Deic","Future","Future","1","2","dentro de unos días",741,741,741,0,0
"1","14","Deic","Future","Future","1","3","los políticos",527,527,527,0,0
"1","14","Deic","Future","Future","1","4","nacionalizarán",542,542,542,0,0
"1","14","Deic","Future","Future","1","5","las empresas",742,742,742,0,0
"1","14","Deic","Future","Future","1","6","de luz.",296,296,296,0,0
"1","81","Deic","Past","Future","0","1","Por las obras de mi habitación,",1454,1454,1454,0,0
"1","81","Deic","Past","Future","0","2","ayer por la tarde",778,778,778,0,0
"1","81","Deic","Past","Future","0","3","mis padres",511,511,511,0,0
"1","81","Deic","Past","Future","0","4","desplazarán",631,631,631,0,0
"1","81","Deic","Past","Future","0","5","los muebles",629,629,629,0,0
"1","81","Deic","Past","Future","0","6","al garaje.",492,492,492,0,0
"1","85","Deic","Past","Future","0","1","Por obligación,",945,945,945,0,0
"1","85","Deic","Past","Future","0","2","ayer a las cuatro",517,517,517,0,0
"1","85","Deic","Past","Future","0","3","las periodistas",1175,1175,1175,0,0
"1","85","Deic","Past","Future","0","4","soportarán",581,581,581,0,0
"1","85","Deic","Past","Future","0","5","el discurso",582,582,582,0,0
"1","85","Deic","Past","Future","0","6","del rey.",419,419,419,0,0
"1","82","Deic","Past","Future","0","1","Gracias al flotador,",918,918,918,0,0
"1","82","Deic","Past","Future","0","2","ayer por la mañana",639,639,639,0,0
"1","82","Deic","Past","Future","0","3","los aprendices",520,520,520,0,0
"1","82","Deic","Past","Future","0","4","flotarán",342,342,342,0,0
"1","82","Deic","Past","Future","0","5","sin miedo",626,626,626,0,0
"1","82","Deic","Past","Future","0","6","hasta el borde",569,569,569,0,0
"1","82","Deic","Past","Future","0","7","de la piscina.",285,285,285,0,0
"1","101","Deic","Future","Past","0","1","Por orden del juez,",696,696,1430,1,0
"1","101","Deic","Future","Past","0","2","en las próximas horas",572,572,1341,1,0
"1","101","Deic","Future","Past","0","3","los acusados",554,554,1484,1,0
"1","101","Deic","Future","Past","0","4","indemnizaron",839,839,3135,1,0
"1","101","Deic","Future","Past","0","5","a la víctima",224,5597,868,0,1
"1","101","Deic","Future","Past","0","6","de la estafa.",845,845,845,0,0
"1","93","Deic","Future","Past","0","1","Para complacer al público,",956,956,956,0,0
"1","93","Deic","Future","Past","0","2","mañana por la tarde",755,755,755,0,0
"1","93","Deic","Future","Past","0","3","los artistas",315,315,315,0,0
"1","93","Deic","Future","Past","0","4","guiaron",707,707,707,0,0
"1","93","Deic","Future","Past","0","5","la visita",409,409,754,1,0
"1","93","Deic","Future","Past","0","6","al museo.",205,550,205,0,1
"1","86","Deic","Future","Past","0","1","En Bilbao,",307,307,307,0,0
"1","86","Deic","Future","Past","0","2","mañana al mediodía",1017,1017,1099,1,0
"1","86","Deic","Future","Past","0","3","las amigas",529,529,529,0,0
"1","86","Deic","Future","Past","0","4","buscaron",281,281,281,0,0
"1","86","Deic","Future","Past","0","5","un restaurante",817,817,817,0,0
"1","86","Deic","Future","Past","0","6","para comer.",396,478,396,0,1
"1","59","Deic","Past","Past","1","1","En la carretera de Irún,",1183,1183,1183,0,0
"1","59","Deic","Past","Past","1","2","la semana pasada",635,635,635,0,0
"1","59","Deic","Past","Past","1","3","las obras",252,252,252,0,0
"1","59","Deic","Past","Past","1","4","conllevaron",468,468,468,0,0
"1","59","Deic","Past","Past","1","5","problemas",276,276,276,0,0
"1","59","Deic","Past","Past","1","6","de movilidad.",427,427,427,0,0
"1","26","Non-deic","none","Past","1","1","A causa de los pucherazos,",1355,1355,3244,1,0
"1","26","Non-deic","none","Past","1","2","a finales de mes",638,638,814,0,0
"1","26","Non-deic","none","Past","1","3","los observadores",1252,1252,1252,0,0
"1","26","Non-deic","none","Past","1","4","recontaron",1112,1112,1929,1,0
"1","26","Non-deic","none","Past","1","5","los votos",214,1259,442,0,1
"1","26","Non-deic","none","Past","1","6","de los electores.",422,2487,422,0,1
"1","94","Deic","Future","Past","0","1","Debido a su infidelidad,",1150,1150,1150,0,0
"1","94","Deic","Future","Past","0","2","los próximos meses",737,737,737,0,0
"1","94","Deic","Future","Past","0","3","los reporteros",726,726,726,0,0
"1","94","Deic","Future","Past","0","4","espiaron",536,536,536,0,0
"1","94","Deic","Future","Past","0","5","al marido",422,422,663,1,0
"1","94","Deic","Future","Past","0","6","de la duquesa.",161,879,638,0,1
"1","58","Deic","Past","Past","1","1","Indecentemente,",996,996,996,0,0
"1","58","Deic","Past","Past","1","2","anoche",280,280,280,0,0
"1","58","Deic","Past","Past","1","3","los políticos",627,627,627,0,0
"1","58","Deic","Past","Past","1","4","costearon",718,718,718,0,0
"1","58","Deic","Past","Past","1","5","su cena",468,468,468,0,0
"1","58","Deic","Past","Past","1","6","con dinero público.",718,718,718,0,0
"1","78","Deic","Past","Future","0","1","En la iglesia,",563,563,563,0,0
"1","78","Deic","Past","Future","0","2","hace un par de semanas",676,676,676,0,0
"1","78","Deic","Past","Future","0","3","las oraciones",700,700,700,0,0
"1","78","Deic","Past","Future","0","4","reconfortarán",725,725,725,0,0
"1","78","Deic","Past","Future","0","5","a la familia",612,612,612,0,0
"1","78","Deic","Past","Future","0","6","de la víctima.",900,900,900,0,0
"1","5","Deic","Future","Future","1","1","Excepcionalmente,",998,998,998,1,0
"1","5","Deic","Future","Future","1","2","mañana a la una",726,726,1007,1,0
"1","5","Deic","Future","Future","1","3","los pacientes",213,1149,1226,1,0
"1","5","Deic","Future","Future","1","4","complementarán",195,1758,1400,0,0
"1","5","Deic","Future","Future","1","5","su terapia",837,837,837,0,0
"1","5","Deic","Future","Future","1","6","con ejercicio físico.",261,6787,1319,0,1
"1","35","Non-deic","none","Future","1","1","En los informativos,",689,689,689,0,0
"1","35","Non-deic","none","Future","1","2","antes del debate",786,786,786,0,0
"1","35","Non-deic","none","Future","1","3","las periodistas",487,487,487,0,0
"1","35","Non-deic","none","Future","1","4","bromearán",299,299,299,0,0
"1","35","Non-deic","none","Future","1","5","sobre el presidente",1024,1024,1024,0,0
"1","35","Non-deic","none","Future","1","6","de España.",232,232,232,0,0
"1","2","Deic","Future","Future","1","1","Al final del partido,",931,931,931,0,0
"1","2","Deic","Future","Future","1","2","el próximo domingo",782,782,782,0,0
"1","2","Deic","Future","Future","1","3","los futbolistas",553,553,553,0,0
"1","2","Deic","Future","Future","1","4","alzarán",316,316,648,1,0
"1","2","Deic","Future","Future","1","5","el trofeo",201,795,463,0,1
"1","2","Deic","Future","Future","1","6","ante los hinchas.",860,860,860,0,0
"1","41","Non-deic","none","Future","1","1","Como de costumbre,",1143,1143,1143,0,0
"1","41","Non-deic","none","Future","1","2","el lunes",384,384,384,0,0
"1","41","Non-deic","none","Future","1","3","los padres",632,632,632,0,0
"1","41","Non-deic","none","Future","1","4","acolcharán",566,566,566,0,0
"1","41","Non-deic","none","Future","1","5","las almohadas",563,563,563,0,0
"1","41","Non-deic","none","Future","1","6","de la habitación",492,492,492,0,0
"1","41","Non-deic","none","Future","1","7","de sus hijas.",416,416,416,0,0
"1","91","Deic","Future","Past","0","1","Como de costumbre,",885,885,885,0,0
"1","91","Deic","Future","Past","0","2","dentro de poco",558,558,558,0,0
"1","91","Deic","Future","Past","0","3","los mineros",594,594,1467,1,0
"1","91","Deic","Future","Past","0","4","colgaron",222,1531,658,0,1
"1","91","Deic","Future","Past","0","5","sus cascos",580,580,580,0,0
"1","91","Deic","Future","Past","0","6","al llegar a la base.",922,922,922,0,0
"1","67","Deic","Past","Past","1","1","Para protegerse del sol,",1007,1007,1007,0,0
"1","67","Deic","Past","Past","1","2","el verano pasado",685,685,685,0,0
"1","67","Deic","Past","Past","1","3","los nadadores",569,569,569,0,0
"1","67","Deic","Past","Past","1","4","hidrataron",309,309,1342,1,0
"1","67","Deic","Past","Past","1","5","su piel",228,1490,457,0,1
"1","67","Deic","Past","Past","1","6","con crema.",267,267,267,0,0
"1","38","Non-deic","none","Future","1","1","Incautamente,",1288,1288,1830,1,0
"1","38","Non-deic","none","Future","1","2","durante el otoño",749,749,749,0,0
"1","38","Non-deic","none","Future","1","3","los habitantes",494,494,494,0,0
"1","38","Non-deic","none","Future","1","4","derrocharán",382,382,382,0,0
"1","38","Non-deic","none","Future","1","5","el agua",312,312,312,0,0
"1","38","Non-deic","none","Future","1","6","de los embalses.",483,1025,483,0,1
"1","60","Deic","Past","Past","1","1","Para la remodelación,",1489,1489,1489,0,0
"1","60","Deic","Past","Past","1","2","ayer por la mañana",707,707,707,0,0
"1","60","Deic","Past","Past","1","3","los voluntarios",531,531,531,0,0
"1","60","Deic","Past","Past","1","4","apuntalaron",449,449,1430,1,0
"1","60","Deic","Past","Past","1","5","la pared",371,371,827,1,0
"1","60","Deic","Past","Past","1","6","de la iglesia.",281,1718,281,0,1
"1","40","Non-deic","none","Future","1","1","Como buenos invitados,",868,868,1319,1,0
"1","40","Non-deic","none","Future","1","2","el domingo de pascua",203,1753,1788,1,1
"1","40","Non-deic","none","Future","1","3","los visitantes",201,1271,785,0,1
"1","40","Non-deic","none","Future","1","4","brindarán",336,336,336,0,0
"1","40","Non-deic","none","Future","1","5","con el príncipe",1145,1145,1145,0,0
"1","40","Non-deic","none","Future","1","6","de Gales.",NA,NA,NA,NA,NA
"1","72","Deic","Past","Future","0","1","Gracias a los testigos,",656,656,656,0,0
"1","72","Deic","Past","Future","0","2","hace unas horas",712,712,712,0,0
"1","72","Deic","Past","Future","0","3","los detectives",502,502,502,0,0
"1","72","Deic","Past","Future","0","4","vincularán",480,480,480,0,0
"1","72","Deic","Past","Future","0","5","al sospechoso",531,531,531,0,0
"1","72","Deic","Past","Future","0","6","con el crimen.",789,789,789,0,0
"1","74","Deic","Past","Future","0","1","En la discoteca,",617,617,617,0,0
